x,y
-1.296678614324640932e+00,-1.869570201675067267e+00
-1.147218935142818808e+00,-1.741039439554350921e+00
-5.730332636729951190e-01,-1.599815471774016729e+00
-4.471656164540149803e-02,-1.631684907903414583e+00
3.643346901332069621e-01,-1.728142364398163267e+00
6.246646789294931779e-01,-1.324485680691855904e+00
9.475309931477529091e-01,-1.115474783779166756e+00
1.128696338679217703e+00,-8.119377116695165597e-01
1.296257386656213484e+00,-2.910131155588597807e-01
1.440146938073036509e+00,1.356122038372600258e-01
1.640314460166084842e+00,5.364683218249801655e-01
1.782383513755343429e+00,9.825926797379516131e-01
1.720405962221535745e+00,1.148201215357385507e+00
1.381238774842374895e+00,1.599859358680555843e+00
1.272811146205549804e+00,1.725708118669107449e+00
1.025426514597267413e+00,2.195893902340438686e+00
8.296424221456710768e-01,2.744609520033401751e+00
5.118665834697058159e-01,2.959756303197165650e+00
6.115999883605773846e-01,3.550354744695813025e+00
2.059095567357935863e-01,3.739695151265653550e+00
-1.103134249171002779e-01,3.927948605422912465e+00
-6.792309391290434206e-01,3.980303140337660750e+00
-9.432744444750120749e-01,4.038088629799791107e+00
-1.425516737847921434e+00,4.082015305256344817e+00
-2.031783904032069543e+00,4.132473176644420931e+00
-2.454250306216708921e+00,4.284846904839916704e+00
-2.781930799291913559e+00,4.579705502432492636e+00
-3.291554747126241409e+00,4.852011834176931160e+00
-3.259788917277983700e+00,5.159487031482026254e+00
